number,first_name,last_name,gender,birth_date,employment_status,annual_salary,tax_file_no
483,Lenord,Kihn,M,1994-07-01,,64598,
478,Palma,Beahan,F,1972-05-06,PE,124103,
348,Hebert,Muller,M,1990-09-04,PE,100324,
757,Virginia,Ullrich,M,1991-09-23,PE,144957,
937,Roby,Hudson,M,1997-01-15,,137659,
264,Jaeda,Effertz,,1994-03-21,PE,131924,
165,Jalissa,Bogisich,F,1974-01-07,PE,101133,
211,Lexie,Robel,M,1997-09-05,,106595,
510,Billy,Reilly,M,1977-04-30,,75300,
940,Marlana,Moen,F,1979-05-05,CA,140611,
175,Aja,Lynch,M,1986-08-21,PE,69271,
772,Jabez,McLaughlin,M,1971-01-12,PE,141535,
950,Adrienne,Stokes,F,1982-07-28,CA,97453,
906,Florene,O'Connell,M,1979-04-03,PE,133971,
325,Migdalia,Sauer,M,1992-08-24,PE,144271,
194,Ace,Upton,,1987-08-25,PE,120120,
493,Jelani,Quitzon,M,1991-03-20,PE,93442,
901,Nikki,D'Amore,,1985-08-09,CA,108287,
712,Yahir,Kertzmann,F,1970-10-27,,95140,
936,Marsha,Ledner,F,1982-12-23,PE,143806,
327,Amarion,Larkin,M,1987-06-28,PE,145321,
431,Maynard,Zieme,,1982-10-12,PE,76354,
542,Mat,Nienow,F,1995-06-14,,141463,
78,Brannon,Goldner,F,1985-04-09,PE,72290,
